agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,1.167999982834,166.6666666667,2015,0,7.0
100,1,1.537513893098,838.8,2015,0,7.0
5,2,0.7314629107714,166.3333333333,2015,0,7.0
100,2,1.353846754879,835.7666666667,2015,0,7.0
5,3,0.8711216747761,167.6,2015,0,7.0
100,3,1.599920308217,836.5,2015,0,7.0
5,4,0.737224817276,165.0333333333,2015,0,7.0
100,4,1.176529074088,837.6333333333,2015,0,7.0
5,5,0.7499486207962,162.2333333333,2015,0,7.0
100,5,1.000556199811,839.0333333333,2015,0,7.0
5,6,0.376056060195,161.7666666667,2015,0,7.0
100,6,1.117361729033,838.4333333333,2015,0,7.0
5,7,1.121696345508,162.7,2015,0,7.0
100,7,1.597692016512,837.6666666667,2015,0,7.0
5,8,1.757977187634,166.1,2015,0,7.0
100,8,3.06722684484,836.9666666667,2015,0,7.0
5,9,6.441602401435,168.1,2015,0,7.0
100,9,5.827645212412,835.1,2015,0,7.0
5,10,4.649681568146,167.4666666667,2015,0,7.0
100,10,3.978797256947,834.8,2015,0,7.0
5,11,4.152608856559,169.9333333333,2015,0,7.0
100,11,2.29045918677,833.9666666667,2015,0,7.0
5,12,2.199222542346,171.5,2015,0,7.0
100,12,2.362365128472,834.3333333333,2015,0,7.0
5,1,1.887931019068,174,2016,0,7.0
100,1,2.031106119975,832.6333333333,2016,0,7.0
5,2,1.336738593876,172.9333333333,2016,0,7.0
100,2,1.551572043449,831.2,2016,0,7.0
5,3,1.204152978957,171.7666666667,2016,0,7.0
100,3,1.623327221721,831.9333333333,2016,0,7.0
5,4,0.7703376635909,173.7333333333,2016,0,7.0
100,4,1.169543787837,832.2333333333,2016,0,7.0
5,5,1.343471519649,172.0666666667,2016,0,7.0
100,5,1.25484706834,833.8333333333,2016,0,7.0
5,6,0.5548166632652,175.4333333333,2016,0,7.0
100,6,1.168888360262,832.7,2016,0,7.0
5,7,0.7627279311419,175.4666666667,2016,0,7.0
100,7,1.836977084167,827.9,2016,0,7.0
5,8,1.701301217079,171.6333333333,2016,0,7.0
100,8,3.713854804635,828.8333333333,2016,0,7.0
5,9,3.053501807153,171.3333333333,2016,0,7.0
100,9,4.866862843744,827.4666666667,2016,0,7.0
5,10,3.794763162732,173.1333333333,2016,0,7.0
100,10,3.674102015793,827.8666666667,2016,0,7.0
5,11,3.529980778694,172.3333333333,2016,0,7.0
100,11,2.656093030237,829.1,2016,0,7.0
5,12,3.351761512458,177.8666666667,2016,0,7.0
100,12,2.290393146686,823.3666666667,2016,0,7.0
5,1,1.352603286505,179.9,2017,0,7.0
100,1,1.638823715039,824.0666666667,2017,0,7.0
5,2,1.230797991157,177.9333333333,2017,0,7.0
100,2,1.162420406006,826.8666666667,2017,0,7.0
5,3,1.029909700155,177.2,2017,0,7.0
100,3,1.232067480683,829.5,2017,0,7.0
5,4,0.9665216207504,176.2333333333,2017,0,7.0
100,4,1.28768440336,831.4666666667,2017,0,7.0
5,5,0.6943123787642,175.2333333333,2017,0,7.0
100,5,0.7607519179583,831.6333333333,2017,0,7.0
5,6,0.2765675187111,175.9666666667,2017,0,7.0
100,6,0.9952682442963,831.2666666667,2017,0,7.0
5,7,0.8919172808528,177.3333333333,2017,0,7.0
100,7,2.292383410968,833.2666666667,2017,0,7.0
5,8,1.675913572311,174.2333333333,2017,0,7.0
100,8,4.123882099055,834.9333333333,2017,0,7.0
5,9,2.172618955374,173.6,2017,0,7.0
100,9,4.105540243909,835.7,2017,0,7.0
5,10,2.824650898576,176.6,2017,0,7.0
100,10,3.119159799069,834.7333333333,2017,0,7.0
5,11,2.528079234064,178.0666666667,2017,0,7.0
100,11,2.565290302038,834.7333333333,2017,0,7.0
5,12,5.371646545827,178.9333333333,2017,0,7.0
100,12,2.233174653724,833.5666666667,2017,0,7.0
5,1,1.965280428529,179.5333333333,2018,0,7.0
100,1,1.355793468654,834.5666666667,2018,0,7.0
5,2,0.699367672205,173.9666666667,2018,0,7.0
100,2,1.231248485856,839.9333333333,2018,0,7.0
5,3,1.149153828621,169.4,2018,0,7.0
100,3,1.124896271154,843.6333333333,2018,0,7.0
5,4,0.6504950299859,168.3333333333,2018,0,7.0
100,4,1.025443202816,842.4,2018,0,7.0
5,5,0.5865809321404,165.9333333333,2018,0,7.0
100,5,0.7360908016562,842.9666666667,2018,0,7.0
5,6,0.8958887457848,162.9666666667,2018,0,7.0
100,6,0.7082327054814,841.7666666667,2018,0,7.0
5,7,0.4490465372801,162.5666666667,2018,0,7.0
100,7,0.7663207296282,841.4666666667,2018,0,7.0
5,8,0.3729818016291,163.1,2018,0,7.0
100,8,2.955231003463,839.8666666667,2018,0,7.0
5,9,1.696988157928,164.9,2018,0,7.0
100,9,4.148223507218,835.9,2018,0,7.0
5,10,3.266056850553,167.6333333333,2018,0,7.0
100,10,4.545145158656,832.5,2018,0,7.0
5,11,2.144535854459,170.2,2018,0,7.0
100,11,2.940952372737,831.5333333333,2018,0,7.0
5,12,5.443484842777,169.8666666667,2018,0,7.0
100,12,2.322328962386,833,2018,0,7.0
5,1,1.830423384905,179.4666666667,2015,0,16.0
100,1,1.848138752393,822.9,2015,0,16.0
5,2,1.770192176104,178.7,2015,0,16.0
100,2,2.020077606663,825.1333333333,2015,0,16.0
5,3,1.765909910202,179.1333333333,2015,0,16.0
100,3,2.146626437083,827.5,2015,0,16.0
5,4,0.5408409237862,179.9666666667,2015,0,16.0
100,4,1.414100646973,825.9666666667,2015,0,16.0
5,5,1.139159113169,181.5666666667,2015,0,16.0
100,5,1.433632974513,823.2,2015,0,16.0
5,6,0.5306196808815,183.4333333333,2015,0,16.0
100,6,1.197933529504,822.6666666667,2015,0,16.0
5,7,1.510979063809,185.2,2015,0,16.0
100,7,1.864434231073,822.2333333333,2015,0,16.0
5,8,2.621655464172,185.6333333333,2015,0,16.0
100,8,3.345364505425,821.9333333333,2015,0,16.0
5,9,5.279464423656,186.6666666667,2015,0,16.0
100,9,4.833751872182,823.0666666667,2015,0,16.0
5,10,5.588392153382,187.2333333333,2015,0,16.0
100,10,4.551565907896,820.6333333333,2015,0,16.0
5,11,3.905831873417,186.9,2015,0,16.0
100,11,2.668778859079,820.6,2015,0,16.0
5,12,2.39875677973,187.6666666667,2015,0,16.0
100,12,2.644927568734,818.8,2015,0,16.0
5,1,1.609631255269,188.9666666667,2016,0,16.0
100,1,2.113353656605,817.5,2016,0,16.0
5,2,2.371795006096,189.8,2016,0,16.0
100,2,1.982075787149,816.4,2016,0,16.0
5,3,2.305667638779,189.9666666667,2016,0,16.0
100,3,2.269491873682,814.8666666667,2016,0,16.0
5,4,1.603127270937,189.7333333333,2016,0,16.0
100,4,2.133020089939,815.6666666667,2016,0,16.0
5,5,1.464840337634,191.0333333333,2016,0,16.0
100,5,1.850897625089,815.1,2016,0,16.0
5,6,1.800563782454,189.2,2016,0,16.0
100,6,1.696912821382,817.3666666667,2016,0,16.0
5,7,0.7716701924801,189.2,2016,0,16.0
100,7,1.633242443204,819.4333333333,2016,0,16.0
5,8,1.717198088765,191.3,2016,0,16.0
100,8,3.301014309749,818.2333333333,2016,0,16.0
5,9,2.730040028691,191.6333333333,2016,0,16.0
100,9,5.147740165703,820.1333333333,2016,0,16.0
5,10,3.62456446141,191.3333333333,2016,0,16.0
100,10,3.887714559212,819.9333333333,2016,0,16.0
5,11,3.017590098083,189.5,2016,0,16.0
100,11,2.641701247543,819.8,2016,0,16.0
5,12,4.39759016037,188.1333333333,2016,0,16.0
100,12,1.870957296342,819.3666666667,2016,0,16.0
5,1,2.136017091572,187.9666666667,2017,0,16.0
100,1,1.653133649379,816.9333333333,2017,0,16.0
5,2,1.706834554672,185.3333333333,2017,0,16.0
100,2,1.90220272541,818.7,2017,0,16.0
5,3,1.777597479522,184.8,2017,0,16.0
100,3,1.425723195076,819.2333333333,2017,0,16.0
5,4,1.047533631325,185.8333333333,2017,0,16.0
100,4,1.481210906059,821.4,2017,0,16.0
5,5,0.4559243619442,186.8,2017,0,16.0
100,5,1.359789460897,823.1666666667,2017,0,16.0
5,6,1.373163677752,186.0666666667,2017,0,16.0
100,6,1.004858296365,823.3333333333,2017,0,16.0
5,7,1.517808750272,184.3666666667,2017,0,16.0
100,7,2.862513612956,824.5666666667,2017,0,16.0
5,8,1.437522396445,186.2,2017,0,16.0
100,8,3.413562742062,823.3333333333,2017,0,16.0
5,9,1.84876999259,184.2666666667,2017,0,16.0
100,9,3.646309509873,824.1666666667,2017,0,16.0
5,10,3.133607625961,186.3666666667,2017,0,16.0
100,10,3.931087553501,823.2666666667,2017,0,16.0
5,11,3.065616846085,190.5,2017,0,16.0
100,11,2.785015650094,821.3,2017,0,16.0
5,12,5.109870888293,188.1,2017,0,16.0
100,12,2.451547635719,823.8333333333,2017,0,16.0
5,1,2.369702428579,184.8333333333,2018,0,16.0
100,1,2.053300462663,823.6333333333,2018,0,16.0
5,2,1.484288349748,180.3333333333,2018,0,16.0
100,2,1.887143015862,825.2333333333,2018,0,16.0
5,3,1.345374137163,180.8666666667,2018,0,16.0
100,3,1.399709382094,825.7666666667,2018,0,16.0
5,4,1.839305654168,178.6,2018,0,16.0
100,4,1.497104750946,828.9333333333,2018,0,16.0
5,5,0.9576461464167,177.8666666667,2018,0,16.0
100,5,1.320815440267,829.0333333333,2018,0,16.0
5,6,1.105014204979,176.1666666667,2018,0,16.0
100,6,0.864338750951,830.5,2018,0,16.0
5,7,0.7614261358976,175.7666666667,2018,0,16.0
100,7,1.012055430561,829.5,2018,0,16.0
5,8,0.6215704903007,176.1666666667,2018,0,16.0
100,8,2.079271413386,830.9,2018,0,16.0
5,9,1.627884343266,171.9,2018,0,16.0
100,9,4.415498899296,834.9,2018,0,16.0
5,10,3.01890514791,169.2666666667,2018,0,16.0
100,10,4.109771657735,837.8,2018,0,16.0
5,11,3.20113029331,171.0333333333,2018,0,16.0
100,11,2.893133049831,836.8666666667,2018,0,16.0
5,12,6.709034055471,170.4666666667,2018,0,16.0
100,12,2.308197068051,838.1,2018,0,16.0
5,1,1.353916622698,152.7666666667,2015,0,12.0
100,1,1.781398776919,846.9,2015,0,12.0
5,2,1.744893595576,153.4,2015,0,12.0
100,2,1.972272631712,845.1333333333,2015,0,12.0
5,3,1.296337366104,150.1666666667,2015,0,12.0
100,3,1.636835664511,847.3666666667,2015,0,12.0
5,4,0.8080584555864,150.5666666667,2015,0,12.0
100,4,1.377466768026,847.9333333333,2015,0,12.0
5,5,0.7367122918367,148.6333333333,2015,0,12.0
100,5,1.178717717528,846.4,2015,0,12.0
5,6,0.4908113032579,148.7333333333,2015,0,12.0
100,6,1.105190724134,847.6666666667,2015,0,12.0
5,7,1.196982935071,152.4666666667,2015,0,12.0
100,7,1.687563626096,850.7333333333,2015,0,12.0
5,8,3.09523820132,153.3,2015,0,12.0
100,8,3.214411460795,851.6333333333,2015,0,12.0
5,9,5.996541142464,154.2,2015,0,12.0
100,9,5.783701678738,854.0666666667,2015,0,12.0
5,10,4.213679127395,153.0333333333,2015,0,12.0
100,10,3.942239999771,851.8,2015,0,12.0
5,11,2.701937735081,153.1,2015,0,12.0
100,11,2.555660489947,847.4,2015,0,12.0
5,12,1.926544904709,151.5666666667,2015,0,12.0
100,12,2.285922534764,846.2666666667,2015,0,12.0
5,1,2.734684884548,151.2666666667,2016,0,12.0
100,1,2.328961417079,846.3,2016,0,12.0
5,2,1.779304295778,150.4333333333,2016,0,12.0
100,2,1.985102863982,845.8,2016,0,12.0
5,3,1.772626981139,151,2016,0,12.0
100,3,2.004860519432,843.5333333333,2016,0,12.0
5,4,0.7288662269711,150.2333333333,2016,0,12.0
100,4,1.698812806979,845.1,2016,0,12.0
5,5,1.068453043699,148.0333333333,2016,0,12.0
100,5,1.075638527982,848.3333333333,2016,0,12.0
5,6,0.9972677528858,146.4,2016,0,12.0
100,6,1.776504334062,849.2333333333,2016,0,12.0
5,7,1.325766205788,146.8333333333,2016,0,12.0
100,7,1.93630148191,848.2666666667,2016,0,12.0
5,8,2.139314740896,147.8666666667,2016,0,12.0
100,8,3.301478661597,847.6,2016,0,12.0
5,9,3.123873993754,148,2016,0,12.0
100,9,4.637101583183,850.1,2016,0,12.0
5,10,3.183851525187,149.0333333333,2016,0,12.0
100,10,3.719234913588,850.5333333333,2016,0,12.0
5,11,3.081537336111,150.0333333333,2016,0,12.0
100,11,2.733278395608,850.2,2016,0,12.0
5,12,4.128409691155,150.3,2016,0,12.0
100,12,2.008095234632,848.2333333333,2016,0,12.0
5,1,1.880179181695,148.8333333333,2017,0,12.0
100,1,1.719062738121,849.3,2017,0,12.0
5,2,1.164539650083,146.2666666667,2017,0,12.0
100,2,1.955535601825,852.3666666667,2017,0,12.0
5,3,1.218833439052,149.7333333333,2017,0,12.0
100,3,1.439589194022,853.6,2017,0,12.0
5,4,1.210747472942,150.7333333333,2017,0,12.0
100,4,0.9835585188121,853.5333333333,2017,0,12.0
5,5,0.887096747756,150.8666666667,2017,0,12.0
100,5,1.125531852245,853.9666666667,2017,0,12.0
5,6,0.8107507973909,150.0666666667,2017,0,12.0
100,6,1.250194601715,856.4,2017,0,12.0
5,7,1.323662757874,147.0666666667,2017,0,12.0
100,7,2.042831003666,857.6333333333,2017,0,12.0
5,8,1.946234107018,150.0333333333,2017,0,12.0
100,8,3.993964080699,856,2017,0,12.0
5,9,1.977248117328,153.8333333333,2017,0,12.0
100,9,4.076142191887,853.6666666667,2017,0,12.0
5,10,3.10110449791,156.9333333333,2017,0,12.0
100,10,3.515248892829,851.4333333333,2017,0,12.0
5,11,2.454297065735,158.6333333333,2017,0,12.0
100,11,2.631661467254,850.6666666667,2017,0,12.0
5,12,4.849219590425,158.0666666667,2017,0,12.0
100,12,2.328480358236,851.7,2017,0,12.0
5,1,1.47647433728,156.5666666667,2018,0,12.0
100,1,1.569217499346,852.8666666667,2018,0,12.0
5,2,1.377069845796,159.0333333333,2018,0,12.0
100,2,1.960288501345,850.3,2018,0,12.0
5,3,1.904612779617,159.7,2018,0,12.0
100,3,1.516660140827,850.3333333333,2018,0,12.0
5,4,1.283616088331,161.1333333333,2018,0,12.0
100,4,1.187061627395,850.7,2018,0,12.0
5,5,1.04328301549,163.2666666667,2018,0,12.0
100,5,1.117917297408,848.9,2018,0,12.0
5,6,0.3661717474461,166.1333333333,2018,0,12.0
100,6,0.9042114000767,847.7,2018,0,12.0
5,7,0.7977349460125,167.7666666667,2018,0,12.0
100,7,1.00550962612,847,2018,0,12.0
5,8,1.447264105082,168.1333333333,2018,0,12.0
100,8,2.710396106355,848.4,2018,0,12.0
5,9,2.801062457263,169.4,2018,0,12.0
100,9,4.370568871498,846.2666666667,2018,0,12.0
5,10,2.147901132703,169.9333333333,2018,0,12.0
100,10,3.88021656964,843.4666666667,2018,0,12.0
5,11,2.683823600411,172.2666666667,2018,0,12.0
100,11,3.292060531676,842.6333333333,2018,0,12.0
5,12,4.556366465986,173.5666666667,2018,0,12.0
100,12,2.830912850797,842.3666666667,2018,0,12.0
5,1,2.107922792435,184.7,2015,0,18.0
100,1,2.19254803285,821.2666666667,2015,0,18.0
5,2,1.25067628175,184.8333333333,2015,0,18.0
100,2,2.060639330186,820.7,2015,0,18.0
5,3,1.059122204781,183.8,2015,0,18.0
100,3,1.96705704648,822.6333333333,2015,0,18.0
5,4,1.003482453525,181.8666666667,2015,0,18.0
100,4,1.728107789531,823.7333333333,2015,0,18.0
5,5,0.9581848978996,177.7666666667,2015,0,18.0
100,5,1.412276834249,827.0333333333,2015,0,18.0
5,6,0.4747305959463,179.4,2015,0,18.0
100,6,1.060789525509,825.8,2015,0,18.0
5,7,1.215991124511,180.1,2015,0,18.0
100,7,1.736623536795,826.7,2015,0,18.0
5,8,3.076418638229,177.9666666667,2015,0,18.0
100,8,3.635428775102,826.6333333333,2015,0,18.0
5,9,5.649944350123,178.7333333333,2015,0,18.0
100,9,5.474999975413,826.6666666667,2015,0,18.0
5,10,5.409943535924,177.6666666667,2015,0,18.0
100,10,3.953015601262,827.9333333333,2015,0,18.0
5,11,2.987247943878,175.1333333333,2015,0,18.0
100,11,2.436954520643,828.7666666667,2015,0,18.0
5,12,2.563591510057,175.6,2015,0,18.0
100,12,2.515111198649,827.2,2015,0,18.0
5,1,2.646946668625,174.6666666667,2016,0,18.0
100,1,2.336634851061,827.9,2016,0,18.0
5,2,2.867957003415,173.9333333333,2016,0,18.0
100,2,2.351141422987,827.9666666667,2016,0,18.0
5,3,1.752785220742,173.5333333333,2016,0,18.0
100,3,1.952342644334,828.8333333333,2016,0,18.0
5,4,1.330838613212,173.7,2016,0,18.0
100,4,1.656226170249,830.1,2016,0,18.0
5,5,1.99609375,170.6666666667,2016,0,18.0
100,5,1.808808211237,834.0666666667,2016,0,18.0
5,6,1.950712613761,168.4,2016,0,18.0
100,6,1.874775990844,837.1666666667,2016,0,18.0
5,7,1.029411807656,165.4666666667,2016,0,18.0
100,7,2.017697291449,838.1666666667,2016,0,18.0
5,8,2.033021748066,167.5666666667,2016,0,18.0
100,8,3.340398595668,841.3666666667,2016,0,18.0
5,9,4.494348108768,165.1333333333,2016,0,18.0
100,9,5.513682520017,842.9333333333,2016,0,18.0
5,10,4.294117510319,164.3333333333,2016,0,18.0
100,10,3.013787960634,843.7333333333,2016,0,18.0
5,11,2.710214830935,166.1,2016,0,18.0
100,11,2.85844251886,842.7666666667,2016,0,18.0
5,12,4.81799992919,166.6666666667,2016,0,18.0
100,12,2.085052326322,840.2666666667,2016,0,18.0
5,1,2.382317997515,168.5333333333,2017,0,18.0
100,1,1.734653413296,841.6666666667,2017,0,18.0
5,2,2.071023322642,170.3666666667,2017,0,18.0
100,2,1.774576066062,843.3,2017,0,18.0
5,3,1.558920621872,171.7,2017,0,18.0
100,3,1.401179395616,842.2666666667,2017,0,18.0
5,4,1.287982687354,170.0333333333,2017,0,18.0
100,4,1.650797439739,840.2,2017,0,18.0
5,5,1.006698191166,169.2,2017,0,18.0
100,5,1.074639938772,837.8,2017,0,18.0
5,6,1.165668606758,167,2017,0,18.0
100,6,1.307670855895,837.3666666667,2017,0,18.0
5,7,2.195268720388,166.2666666667,2017,0,18.0
100,7,2.502491306514,836.2333333333,2017,0,18.0
5,8,2.111089028418,167.1333333333,2017,0,18.0
100,8,4.161166520789,833.3,2017,0,18.0
5,9,2.461813166738,168.0333333333,2017,0,18.0
100,9,3.917344208807,832.3666666667,2017,0,18.0
5,10,3.3018681705,169.5,2017,0,18.0
100,10,3.492753119208,832.5333333333,2017,0,18.0
5,11,3.00765144825,169.9,2017,0,18.0
100,11,2.660392438993,832.3333333333,2017,0,18.0
5,12,5.357143096626,170.3333333333,2017,0,18.0
100,12,2.515829157084,831.8,2017,0,18.0
5,1,2.353458367288,170.6,2018,0,18.0
100,1,2.051549740136,830.2666666667,2018,0,18.0
5,2,1.963929802179,167.2666666667,2018,0,18.0
100,2,1.850331980735,828.5,2018,0,18.0
5,3,1.379275985062,167.6,2018,0,18.0
100,3,1.664380017668,826.0333333333,2018,0,18.0
5,4,1.145098090172,170,2018,0,18.0
100,4,1.165097560734,824.9666666667,2018,0,18.0
5,5,0.8674985468388,168.3,2018,0,18.0
100,5,1.163029897027,826.4333333333,2018,0,18.0
5,6,1.0820158571,168.6666666667,2018,0,18.0
